Statement,Header,域名稱,域值
Statement,Data,Title,轉賬歷史
Statement,Data,Period,"六月 23, 2026 - 八月 7, 2026"
Statement,Data,WhenGenerated,"2026-08-10, 10:54:51 EDT"
總結,Header,域名稱,域值
總結,Data,基礎貨幣,SGD
總結,Data,期初現金,62170.490999638685
總結,Data,變更,-56266.364222301774
總結,Data,期末現金,5904.126777336911
轉賬歷史,Header,日期,賬戶,說明,交易類型,代碼,交易量,價格,Price Currency,總額,佣金,淨金額
轉賬歷史,Data,2026-08-04,U***32085,MES 18SEP26 Position MTM,持倉按市價計值(MTM),MESU6,-,-,-,-5279.4585,-,-5279.4585
轉賬歷史,Data,2026-08-04,U***32085,MNQ 18SEP26 Position MTM,持倉按市價計值(MTM),MNQU6,-,-,-,-12459.7785,-,-12459.7785
轉賬歷史,Data,2026-08-04,U***32085,VXM 19AUG26 Position MTM,持倉按市價計值(MTM),VXMQ6,-,-,-,25.823508,-,25.823508
轉賬歷史,Data,2026-08-04,U***32085,MBT 28AUG26 Position MTM,持倉按市價計值(MTM),MBTQ6,-,-,-,-51.288,-,-51.288
轉賬歷史,Data,2026-08-04,U***32085,M6E 14SEP26 Position MTM,持倉按市價計值(MTM),M6EU6,-,-,-,-144.2475,-,-144.2475
轉賬歷史,Data,2026-08-04,U***32085,MJY 14SEP26 Position MTM,持倉按市價計值(MTM),MJYU6,-,-,-,431.941125,-,431.941125
轉賬歷史,Data,2026-08-04,U***32085,MJY 14SEP26,買,MJYU6,1.0,0.006365,USD,-10201.50375(1),-0.51288,-2.9631642
轉賬歷史,Data,2026-08-04,U***32085,M6E 14SEP26,買,M6EU6,3.0,1.1532,USD,-55448.739(1),-1.53864,89.67963239999999
轉賬歷史,Data,2026-08-04,U***32085,YC 14SEP26,賣,XCU6,-2.0,4.49625,USD,11530.1835(1),-4.923648,183.75772368
轉賬歷史,Data,2026-08-04,U***32085,EUR 09OCT26 1.18 C,賣,EUUV6 C1180,-1.0,0.0024,USD,384.66,-3.154212,381.22190892000003
轉賬歷史,Data,2026-08-04,U***32085,ZC SEP26 5 P,賣,OCDU6 P0500,-1.0,0.28625,USD,1835.14875,-3.8722440000000002,1830.9280040400001
轉賬歷史,Data,2026-08-04,U***32085,EUR 04SEP26 1.165 C,賣,EUUU6 C1165,-1.0,0.0022,USD,352.605,-3.154212,349.16690892
轉賬歷史,Data,2026-08-04,U***32085,YC 14SEP26,賣,XCU6,-2.0,4.51125,USD,11568.6495(1),-4.923648,222.22372368
轉賬歷史,Data,2026-08-04,U***32085,M6E 14SEP26,買,M6EU6,1.0,1.1533,USD,-18484.51575(1),-0.51288,28.2904608
